Organization,Followed On
Google for Startups,Thu Nov 10 20:12:51 UTC 2022
Tampa Bay Lightning,Wed Nov 09 19:23:22 UTC 2022
Thrive DTSP,Wed Nov 09 19:23:19 UTC 2022
The Paypers,Mon Nov 07 20:57:52 UTC 2022
Haven,Sat Nov 05 16:58:16 UTC 2022
LINE,Sun Oct 30 17:49:43 UTC 2022
Paysend,Sun Oct 30 17:48:20 UTC 2022
The Fintech Fund 🚀,Sun Oct 30 17:46:43 UTC 2022
Coatue Management,Fri Oct 28 21:06:46 UTC 2022
Oak HC/FT,Thu Oct 27 17:00:50 UTC 2022
Kushki,Wed Oct 26 21:20:31 UTC 2022
Paytm Labs,Wed Oct 26 20:13:29 UTC 2022
Higlobe,Mon Oct 24 15:28:25 UTC 2022
TTV Capital,Mon Oct 24 15:22:08 UTC 2022
Fin Capital,Sat Oct 22 23:37:50 UTC 2022
AZA Finance,Fri Oct 21 20:17:50 UTC 2022
FTT Embedded Finance & Super Apps,Thu Oct 20 20:00:58 UTC 2022
Nyca Partners,Tue Oct 18 02:12:03 UTC 2022
Tech Beach Retreat,Mon Oct 17 21:56:12 UTC 2022
Sila,Mon Oct 17 21:47:51 UTC 2022
Hummingbird,Mon Oct 17 21:45:26 UTC 2022
Sydecar,Mon Oct 17 20:06:09 UTC 2022
Finnt,Mon Oct 17 19:52:03 UTC 2022
Goldman Sachs,Fri Oct 07 19:45:50 UTC 2022
ChainSafe Systems,Thu Oct 06 17:56:06 UTC 2022
Vestigo Ventures,Tue Oct 04 15:44:47 UTC 2022
"Sandbox Banking, an nCino Company",Tue Oct 04 15:43:16 UTC 2022
MIT Solve,Thu Sep 29 20:54:41 UTC 2022
Civis Bank is now Thread Bank,Thu Sep 29 18:48:46 UTC 2022
AwesomeFinTech,Thu Sep 29 13:33:26 UTC 2022
Designer Fund,Wed Sep 28 17:35:23 UTC 2022
Fidelity Labs,Tue Sep 27 18:24:12 UTC 2022
Multi-Services Zambia Limited,Fri Sep 23 05:33:37 UTC 2022
Techstars Miami,Fri Sep 23 01:49:15 UTC 2022
FF News | Fintech Finance,Fri Sep 23 01:32:02 UTC 2022
Mass Fintech Hub,Thu Sep 22 19:55:19 UTC 2022
Cyndeo Wealth Partners,Thu Sep 22 19:19:37 UTC 2022
Pinellas County Economic Development,Thu Sep 22 19:17:27 UTC 2022
Tampa Bay Economic Development Council,Thu Sep 22 19:17:25 UTC 2022
St. Petersburg Area Chamber of Commerce,Thu Sep 22 19:17:22 UTC 2022
St. Petersburg Downtown Partnership,Thu Sep 22 19:17:20 UTC 2022
City of St. Petersburg,Thu Sep 22 19:17:18 UTC 2022
The Financial Revolutionist,Thu Sep 22 18:04:22 UTC 2022
Pathward,Tue Sep 20 16:03:23 UTC 2022
Suits Me,Sun Sep 18 22:10:28 UTC 2022
FedPayments Improvement,Fri Aug 26 23:39:51 UTC 2022
American Banker,Thu Aug 25 22:28:43 UTC 2022
Brazil at Silicon Valley,Wed Aug 17 17:08:38 UTC 2022
Stellar Development Foundation,Tue Aug 16 17:47:31 UTC 2022
Circle,Tue Aug 09 22:21:38 UTC 2022
St. Pete Catalyst,Tue Aug 09 01:51:23 UTC 2022
Banking Circle,Thu Aug 04 21:30:50 UTC 2022
Visa Innovation Program Europe,Thu Aug 04 21:22:47 UTC 2022
Symptai Consulting Limited,Thu Aug 04 20:23:55 UTC 2022
CANTO Caribbean,Thu Aug 04 20:17:18 UTC 2022
Digicel Business Pacific,Thu Aug 04 20:12:26 UTC 2022
Connecting the Dots in FinTech - USA,Wed Aug 03 20:24:20 UTC 2022
Q2,Tue Aug 02 18:06:43 UTC 2022
Jack Henry,Tue Aug 02 18:05:31 UTC 2022
RevTech Labs Foundation,Tue Aug 02 01:02:00 UTC 2022
Cambrian,Wed Jul 27 20:15:20 UTC 2022
spARK Labs by ARK Invest,Sat Jul 23 00:30:12 UTC 2022
Angels Partners,Thu Jul 21 16:51:26 UTC 2022
Cash App,Thu Jul 14 16:33:43 UTC 2022
Next Frontier Capital,Thu Jul 14 16:33:34 UTC 2022
VV,Wed Jul 13 16:05:47 UTC 2022
Creative Destruction Lab,Tue Jul 12 16:38:23 UTC 2022
Bates Group,Fri Jul 08 18:31:01 UTC 2022
Curql,Fri Jul 08 17:43:15 UTC 2022
Fintech Fringe Festival,Fri Jul 08 17:01:41 UTC 2022
Engage fi,Fri Jul 08 00:31:39 UTC 2022
Homey,Fri Jul 08 00:25:44 UTC 2022
SIGMA,Fri Jul 08 00:25:01 UTC 2022
DUKAPAQ,Fri Jul 08 00:24:58 UTC 2022
Sole Capital,Fri Jul 08 00:23:55 UTC 2022
TampaBay.Ventures,Thu Jul 07 23:56:14 UTC 2022
Seacoast Bank,Thu Jul 07 23:54:46 UTC 2022
VIVA Finance,Thu Jul 07 22:29:30 UTC 2022
Caliza,Thu Jul 07 22:18:08 UTC 2022
TIE Tampa Bay,Fri Jul 01 16:47:12 UTC 2022
TeleGiro,Wed Jun 29 17:43:00 UTC 2022
Visible Hands,Wed Jun 29 17:01:35 UTC 2022
Flywire,Tue Jun 28 01:53:06 UTC 2022
Onyx Private,Mon Jun 27 16:36:43 UTC 2022
inbanx,Mon Jun 27 15:38:04 UTC 2022
OnlineApplication.com,Mon Jun 13 21:37:23 UTC 2022
EML,Fri Jun 10 15:33:47 UTC 2022
NovoPayment,Wed Jun 08 19:24:09 UTC 2022
"YellowPepper, A Visa Solution",Wed Jun 08 16:29:19 UTC 2022
Fintech Ventures Fund,Wed Jun 08 16:26:51 UTC 2022
Talino Venture Studios,Thu Jun 02 19:57:07 UTC 2022
Visa Consulting & Analytics (VCA),Thu Jun 02 19:52:24 UTC 2022
BayaniPay,Thu Jun 02 19:52:08 UTC 2022
J. KAPITULA Financial Consulting,Wed Jun 01 04:15:04 UTC 2022
Capital,Tue May 31 19:19:57 UTC 2022
Inpay,Tue May 31 17:29:28 UTC 2022
Endeavor,Sat May 28 20:56:31 UTC 2022
Argyle,Sat May 28 03:29:45 UTC 2022
University of South Florida Muma College of Business,Thu May 26 15:16:51 UTC 2022
Alloy,Wed May 25 18:26:15 UTC 2022
Treasury Prime,Wed May 18 20:10:39 UTC 2022
Unit,Wed May 18 04:07:04 UTC 2022
Accenture,Mon May 16 23:03:26 UTC 2022
Index Ventures,Tue May 10 18:35:27 UTC 2022
Insight Partners,Tue May 10 18:35:23 UTC 2022
AngelList,Tue May 10 18:35:22 UTC 2022
Ramp,Tue May 10 18:35:20 UTC 2022
Cade Museum for Creativity & Invention,Tue May 10 18:34:34 UTC 2022
Women of Influence+,Fri May 06 17:45:25 UTC 2022
Allo Bank,Thu May 05 22:24:40 UTC 2022
Algorand Technologies,Thu May 05 19:36:33 UTC 2022
Algorand Miami Accelerator,Thu May 05 19:36:23 UTC 2022
New Payment Platforms - Mastercard,Mon Apr 25 15:43:55 UTC 2022
FinTech Silicon Valley Jobs,Mon Apr 25 14:27:40 UTC 2022
FinTech Silicon Valley,Mon Apr 25 14:27:35 UTC 2022
Column,Thu Apr 21 16:44:03 UTC 2022
Checkout.com,Tue Apr 19 18:00:47 UTC 2022
University of South Florida St. Petersburg,Tue Apr 12 14:45:12 UTC 2022
Paperstack,Tue Apr 12 14:37:18 UTC 2022
"Smiley Technologies, Inc.",Tue Apr 12 14:36:09 UTC 2022
Black Dragon Capital,Tue Apr 12 14:36:04 UTC 2022
United Solutions Company,Tue Apr 12 14:36:01 UTC 2022
The Penny Hoarder,Tue Apr 12 14:35:59 UTC 2022
The Depository Trust & Clearing Corporation (DTCC),Tue Apr 12 14:35:54 UTC 2022
St. Petersburg Area Economic Development Corporation,Tue Apr 12 14:35:50 UTC 2022
MacDonald Ventures,Tue Apr 12 14:35:47 UTC 2022
Encore Bank,Tue Apr 12 14:28:59 UTC 2022
Tampa Bay Wave,Mon Apr 11 19:23:26 UTC 2022
MX,Thu Mar 24 18:55:37 UTC 2022
Bread Financial,Thu Mar 24 03:02:25 UTC 2022
Tribal,Wed Mar 23 01:34:09 UTC 2022
zerohash,Tue Mar 22 19:15:58 UTC 2022
Operate Ventures,Thu Mar 17 16:34:49 UTC 2022
Alumni Founders,Wed Mar 16 18:07:03 UTC 2022
Alloy Labs,Thu Mar 03 21:14:16 UTC 2022
KyckGlobal,Wed Mar 02 18:59:31 UTC 2022
Orbit Fab,Thu Feb 24 02:04:01 UTC 2022
Miami Finance Forum,Wed Feb 23 03:10:36 UTC 2022
Newcon,Tue Feb 22 22:03:32 UTC 2022
Connecting the Dots in FinTech - LATAM,Mon Feb 21 16:11:30 UTC 2022
Techstars Boston Accelerator,Sat Feb 19 17:54:12 UTC 2022
Groundswell Startups,Mon Feb 14 16:43:55 UTC 2022
Novo,Sat Feb 12 18:58:23 UTC 2022
M-PESA Africa,Thu Feb 10 18:57:13 UTC 2022
Start-up Society,Thu Feb 10 18:56:22 UTC 2022
Expert Compliance Training                 by Bates Group,Wed Feb 09 01:08:28 UTC 2022
Square Root Marketing,Wed Feb 09 01:08:22 UTC 2022
Branch,Mon Jan 31 18:40:34 UTC 2022
Finnovating,Wed Jan 26 15:50:08 UTC 2022
Established,Mon Jan 24 22:34:00 UTC 2022
Embarc Collective,Mon Jan 24 22:33:57 UTC 2022
Routefusion,Sat Jan 22 22:10:41 UTC 2022
Arc,Sat Jan 22 17:37:30 UTC 2022
Hydrogen,Thu Jan 20 19:18:29 UTC 2022
Tiger Global,Thu Jan 20 18:15:24 UTC 2022
FintechForce,Wed Jan 19 22:59:49 UTC 2022
TabaPay,Wed Jan 19 19:42:25 UTC 2022
TET Events,Mon Jan 17 20:25:53 UTC 2022
Sunbit,Sat Jan 15 02:20:02 UTC 2022
Albert,Sat Jan 15 02:19:46 UTC 2022
This Week in Fintech,Fri Jan 14 19:02:57 UTC 2022
Zelle®,Thu Jan 13 19:00:50 UTC 2022
Early Warning®,Thu Jan 13 19:00:48 UTC 2022
Worldline Merchant Services,Wed Jan 12 15:34:23 UTC 2022
Meta,Tue Jan 04 00:19:05 UTC 2022
Nubank,Sun Dec 19 19:53:29 UTC 2021
Astra,Sun Dec 19 19:47:19 UTC 2021
Rapyd,Sat Dec 18 01:19:13 UTC 2021
NFX,Fri Dec 17 00:27:13 UTC 2021
Kiosk Prepaid,Thu Dec 16 21:13:48 UTC 2021
Startup of the Year®,Thu Dec 16 19:56:42 UTC 2021
Telefónica,Thu Dec 16 19:16:15 UTC 2021
Wayra,Thu Dec 16 19:16:11 UTC 2021
Meta Payments,Mon Dec 13 16:04:49 UTC 2021
The Fintech Marketing Hub CIC,Sun Dec 12 02:20:23 UTC 2021
LemFi,Thu Dec 09 19:22:27 UTC 2021
Preventor,Thu Dec 09 16:19:57 UTC 2021
Félix,Wed Dec 08 21:03:57 UTC 2021
AIN Ventures,Wed Dec 08 20:42:39 UTC 2021
Tech Funding News,Wed Dec 08 18:47:27 UTC 2021
4Told FinTech,Tue Dec 07 22:15:12 UTC 2021
Fondeadora,Tue Dec 07 20:49:30 UTC 2021
Fintech Cafe,Tue Dec 07 03:07:24 UTC 2021
Maquia Capital,Mon Dec 06 19:53:47 UTC 2021
PSP Lab,Sun Dec 05 22:28:53 UTC 2021
Clocktower Ventures,Sun Dec 05 22:25:41 UTC 2021
Visa Direct,Wed Dec 01 03:16:15 UTC 2021
SnowX,Mon Nov 29 00:48:51 UTC 2021
Venture Hive,Wed Nov 24 16:40:16 UTC 2021
IFC - International Finance Corporation,Tue Nov 23 21:12:27 UTC 2021
Flairr Labs,Tue Nov 23 19:58:24 UTC 2021
Destinus,Tue Nov 23 17:17:44 UTC 2021
Africa Fintech Network,Fri Nov 19 19:42:52 UTC 2021
Fintech News Africa - part of Fintech News Network,Fri Nov 19 19:42:47 UTC 2021
Africa Fintech Summit,Fri Nov 19 19:42:38 UTC 2021
Mbanq Labs,Fri Nov 19 00:08:11 UTC 2021
Fintech Nexus,Thu Nov 18 19:26:00 UTC 2021
Current,Tue Nov 16 04:53:12 UTC 2021
Stash,Tue Nov 16 04:53:08 UTC 2021
Chime,Tue Nov 16 04:53:07 UTC 2021
Jeeves,Thu Nov 11 01:32:33 UTC 2021
Blue Ridge Bank,Wed Nov 10 23:05:47 UTC 2021
TurboSquid by Shutterstock,Tue Nov 09 14:04:45 UTC 2021
ODF,Mon Nov 08 17:14:58 UTC 2021
Global Wales,Wed Nov 03 18:40:31 UTC 2021
BankTech Ventures,Wed Nov 03 18:40:21 UTC 2021
Cheese Financial Inc,Fri Oct 29 22:51:02 UTC 2021
CIC Miami,Thu Oct 28 22:59:41 UTC 2021
Stearns Bank N.A.,Thu Oct 28 18:08:13 UTC 2021
Pareto Holdings,Tue Oct 26 17:24:50 UTC 2021
Rokk3r,Fri Oct 22 15:03:18 UTC 2021
Alliance Data,Fri Oct 22 15:00:46 UTC 2021
Juicyway,Thu Oct 14 20:27:19 UTC 2021
Barclays,Wed Oct 06 13:36:34 UTC 2021
RISE GROUP,Wed Oct 06 13:36:32 UTC 2021
Barclays Innovation Hub powered by Eagle Labs,Wed Oct 06 13:36:27 UTC 2021
"Payall Payment Systems, Inc.",Sun Oct 03 19:43:24 UTC 2021
Bread,Sat Oct 02 21:24:06 UTC 2021
Amazon Web Services (AWS),Wed Nov 12 05:18:22 UTC 2025
Nupeye,Mon Sep 27 15:07:21 UTC 2021
OjaExpress,Fri Sep 24 15:06:20 UTC 2021
BIP Ventures,Thu Sep 16 17:51:31 UTC 2021
Armyn Capital,Thu Sep 16 15:23:48 UTC 2021
One Way Ventures,Thu Sep 16 03:48:20 UTC 2021
Almond FinTech,Thu Sep 16 03:42:21 UTC 2021
Fuel Capital,Wed Sep 15 17:19:12 UTC 2021
Data Science Salon,Mon Sep 13 23:17:40 UTC 2021
Dropbox DocSend,Sat Aug 28 00:13:49 UTC 2021
MyCash Jamaica,Thu Aug 26 02:19:04 UTC 2021
"OKY Yes, Tú Puedes",Tue Aug 24 16:41:21 UTC 2021
Cap Table Coalition,Thu Aug 19 21:56:23 UTC 2021
"IPD Capital, LLC",Wed Aug 18 22:52:49 UTC 2021
Startup Stash,Mon Aug 16 20:17:12 UTC 2021
Seven Seven Six 7️⃣7️⃣6️⃣,Thu Aug 12 14:52:19 UTC 2021
Ecommpay,Tue Aug 10 21:47:14 UTC 2021
Alpaca VC,Mon Aug 09 15:51:11 UTC 2021
TheVentureCity,Sat Aug 07 05:18:53 UTC 2021
The Wharton School,Fri Jul 23 15:45:00 UTC 2021
Latam Fintech Hub,Thu Jul 22 15:34:19 UTC 2021
Air Force Special Operations Command,Wed Jul 14 19:25:29 UTC 2021
MeetFounders,Fri Jul 09 21:12:31 UTC 2021
Techstars Los Angeles,Fri Jul 09 18:40:34 UTC 2021
Federal Deposit Insurance Corporation (FDIC),Fri Jul 09 18:39:25 UTC 2021
Ardent Venture Partners,Fri Jul 09 17:19:04 UTC 2021
Fox Ventures,Wed Jul 07 14:53:08 UTC 2021
Moneybox,Tue Jul 06 22:55:53 UTC 2021
11:FS,Tue Jul 06 22:55:45 UTC 2021
Tink,Wed Jun 30 20:56:52 UTC 2021
FinLedger,Mon Jun 28 23:16:48 UTC 2021
Piermont Bank,Fri Jun 25 00:49:39 UTC 2021
Unit21,Fri Jun 25 00:41:46 UTC 2021
FACEKI,Thu Jun 24 18:12:28 UTC 2021
BiP,Thu Jun 24 16:51:00 UTC 2021
QED Investors,Wed Jun 16 18:39:52 UTC 2021
Cross River,Fri Jun 11 13:27:56 UTC 2021
FinTech Collective,Wed Jun 09 23:02:57 UTC 2021
Nium,Wed Jun 09 19:27:46 UTC 2021
Fintech Meetup,Wed Jun 09 18:30:07 UTC 2021
ACAMS,Wed Jun 09 17:08:36 UTC 2021
FinTech Global,Tue Jun 08 16:36:57 UTC 2021
MassChallenge,Tue Jun 08 16:31:09 UTC 2021
FINTOP,Tue Jun 08 16:26:51 UTC 2021
AFEX (rebranded to Corpay Cross-Border),Wed Jun 02 23:38:58 UTC 2021
Class 5 Global,Mon May 17 22:37:41 UTC 2021
Global Founders Capital,Mon May 17 22:37:27 UTC 2021
Propel Venture Partners,Thu May 13 18:46:39 UTC 2021
Launchpad Capital,Thu May 13 18:46:30 UTC 2021
Founders Fund,Mon May 03 18:17:06 UTC 2021
The Clearing House,Wed Apr 21 01:34:48 UTC 2021
General Catalyst,Tue Apr 20 15:39:49 UTC 2021
MetaBank,Sun Apr 18 22:19:54 UTC 2021
Evolve Bank & Trust,Sun Apr 18 22:19:54 UTC 2021
Sutton Bank,Sun Apr 18 22:19:50 UTC 2021
MVP.dev,Thu Apr 15 18:28:09 UTC 2021
Republic,Wed Apr 14 01:21:25 UTC 2021
SoftBank Group Corp.,Sun Apr 11 22:08:56 UTC 2021
SoftBank Investment Advisers,Sun Apr 11 22:07:59 UTC 2021
Bain Capital Ventures (BCV),Fri Apr 02 14:38:51 UTC 2021
First Round Capital,Fri Apr 02 14:38:48 UTC 2021
FinTech Innovation Lab,Fri Apr 02 14:38:41 UTC 2021
Sequoia Capital,Fri Apr 02 14:39:39 UTC 2021
Accel,Fri Apr 02 14:38:32 UTC 2021
Cartken,Fri Apr 02 14:01:53 UTC 2021
Small World Financial Services,Fri Mar 19 21:27:08 UTC 2021
B9,Sat Mar 13 21:14:45 UTC 2021
TEMABIT Software Development,Mon Feb 08 23:25:34 UTC 2021
Global PayTech Ventures,Tue Feb 02 22:02:31 UTC 2021
MIT Technology Review,Mon Feb 01 02:17:32 UTC 2021
ACHQ.com,Thu Nov 26 15:49:45 UTC 2020
Wharton Fintech,Mon Nov 23 01:06:26 UTC 2020
Forbes Technology Council,Wed Nov 18 20:12:36 UTC 2020
Sendwave (International Remittance),Mon Nov 16 21:57:27 UTC 2020
The RemTECH Awards,Mon Nov 16 16:19:30 UTC 2020
Unlimit,Fri Nov 13 03:47:05 UTC 2020
Moneycorp,Tue Nov 10 21:52:19 UTC 2020
FinTech Magazine,Fri Oct 16 19:03:05 UTC 2020
First Billing Services,Thu Oct 15 21:50:35 UTC 2020
CB Insights,Wed Oct 14 00:53:05 UTC 2020
The Reserve Trust Company,Mon Oct 12 00:40:23 UTC 2020
Financial Health Network,Mon Oct 12 00:37:59 UTC 2020
Botmaker,Tue Oct 06 01:17:13 UTC 2020
Money20/20,Thu Oct 01 21:59:39 UTC 2020
i-t.io,Wed Sep 30 21:49:59 UTC 2020
WEpayments,Wed Sep 30 18:53:58 UTC 2020
Harvard Business Review,Mon Nov 14 20:13:15 UTC 2022
台积电中国,Wed Sep 30 05:15:28 UTC 2020
Boomtown Innovation,Wed Sep 16 04:26:26 UTC 2020
Firehawk,Tue Sep 15 03:37:51 UTC 2020
Innovate Orlando,Sun Sep 13 00:16:39 UTC 2020
New World Angels,Sun Sep 13 00:09:55 UTC 2020
Florida Funders,Sun Sep 13 00:09:52 UTC 2020
DeepWork Capital,Sun Sep 13 00:09:48 UTC 2020
SeedFundersOrlando,Sun Sep 13 00:09:14 UTC 2020
Adyen,Tue Sep 08 00:48:35 UTC 2020
FIS,Tue Sep 08 00:48:32 UTC 2020
Mastercard Center for Inclusive Growth,Tue Sep 08 00:48:29 UTC 2020
PCN,Tue Sep 08 00:48:24 UTC 2020
FinTech Futures,Tue Sep 08 00:48:06 UTC 2020
N26,Tue Sep 01 18:49:30 UTC 2020
Prove,Mon Aug 31 17:04:04 UTC 2020
BNY,Thu Aug 27 16:52:19 UTC 2020
Wallarm: API Security Leader,Thu Aug 27 02:41:19 UTC 2020
Bitcoin Depot,Sat Aug 15 02:02:11 UTC 2020
Lili,Wed Aug 12 15:28:36 UTC 2020
Sokin,Tue Aug 11 23:18:33 UTC 2020
FLEETCOR,Sat Aug 01 17:04:23 UTC 2020
CFSB,Fri Jul 31 21:53:10 UTC 2020
Digital Space Ventures,Wed Jul 29 18:03:05 UTC 2020
Gates Foundation,Mon Jul 20 17:30:18 UTC 2020
Mastercard Foundation,Mon Jul 20 17:30:13 UTC 2020
Juakali,Mon Jul 20 17:30:10 UTC 2020
AB Bank Zambia,Mon Jul 20 17:28:45 UTC 2020
RemitRadar,Sun Jul 19 20:50:32 UTC 2020
"CFTE - Centre for Finance, Technology and Entrepreneurship",Sun Jul 19 20:40:58 UTC 2020
Raisin,Fri Jul 17 19:16:07 UTC 2020
Payfone,Thu Jul 16 04:04:39 UTC 2020
Global Impact FinTech Forum (GIFT),Wed Jul 15 18:09:14 UTC 2020
IFC América Latina y el Caribe,Mon Jun 22 15:35:10 UTC 2020
Flutterwave,Tue Jun 16 14:56:19 UTC 2020
LandingAI,Mon Jun 08 21:02:25 UTC 2020
The Financial Brand,Wed Jun 03 15:41:40 UTC 2020
Robinhood,Wed Jun 03 15:39:47 UTC 2020
Virgin Money,Wed May 27 18:04:34 UTC 2020
The Jamaica National Group,Wed May 27 16:42:13 UTC 2020
Sagicor Group Jamaica Limited,Wed May 27 16:42:12 UTC 2020
National Commercial Bank Jamaica Limited (NCB),Wed May 27 16:41:48 UTC 2020
SDK.finance,Sat May 23 01:01:29 UTC 2020
YBC USA | Young Business Club USA,Thu May 21 19:03:14 UTC 2020
NYC Fintech Women,Tue May 19 20:06:33 UTC 2020
Advapay,Tue May 12 22:24:59 UTC 2020
Armenian Card - Arca,Thu May 07 22:16:58 UTC 2020
Unibank OJSC,Thu May 07 22:02:16 UTC 2020
FinTech360 Pte Ltd,Thu May 07 17:43:15 UTC 2020
Fintech360,Thu May 07 17:40:31 UTC 2020
Courtside Ventures,Wed May 06 19:28:59 UTC 2020
Russian Standard Bank,Wed May 06 02:16:51 UTC 2020
TA Ventures,Fri Apr 24 14:11:55 UTC 2020
Chase Lawyers,Wed Apr 22 18:46:17 UTC 2020
Silicon Valley Bank,Mon Apr 06 03:05:21 UTC 2020
Bloomberg,Mon Apr 06 02:57:20 UTC 2020
Molinari Media,Mon Apr 06 02:56:41 UTC 2020
FinTech FinCrime Exchange,Mon Apr 06 02:55:56 UTC 2020
Martin Trust Center for MIT Entrepreneurship,Mon Apr 06 02:53:47 UTC 2020
MIT COVID-19 Challenge,Mon Apr 06 02:50:02 UTC 2020
Braintree,Mon Apr 06 02:39:43 UTC 2020
LinkedIn News,Tue Mar 31 17:32:36 UTC 2020
Mercantile Global Holdings,Tue Mar 24 19:53:43 UTC 2020
FINTRAIL,Mon Mar 16 17:44:38 UTC 2020
Fintechs Canada,Fri Mar 13 04:14:03 UTC 2020
IDB Lab,Sat Mar 07 19:33:10 UTC 2020
IDB Invest,Sat Mar 07 19:33:06 UTC 2020
The Venture Center,Fri Mar 06 02:00:26 UTC 2020
Belvo,Wed Mar 04 19:50:33 UTC 2020
San Francisco Business Times,Wed Mar 04 19:39:20 UTC 2020
PaymentsJournal,Wed Mar 04 19:37:45 UTC 2020
Ripple Ventures,Wed Mar 04 02:27:00 UTC 2020
Bloomberg News,Wed Mar 04 02:23:09 UTC 2020
Plaid,Wed Mar 04 02:21:36 UTC 2020
MIT Sloan FinTech,Tue Mar 03 21:09:01 UTC 2020
BuyLoad.ph,Sun Mar 01 20:01:54 UTC 2020
Buy Bitcoin in the Philippines,Sun Mar 01 20:01:53 UTC 2020
Coins.ph,Sun Mar 01 20:01:35 UTC 2020
Manos Accelerator,Sat Feb 29 22:40:07 UTC 2020
Ren Payments,Wed Feb 26 02:58:44 UTC 2020
FXC Intelligence,Wed Feb 26 02:45:38 UTC 2020
Radius,Thu Feb 20 01:05:29 UTC 2020
BitGo,Thu Feb 20 01:00:46 UTC 2020
Zopa Bank,Thu Feb 20 00:58:17 UTC 2020
Monese,Thu Feb 20 00:58:12 UTC 2020
Starling,Thu Feb 20 00:58:07 UTC 2020
Monzo Bank,Thu Feb 20 00:58:06 UTC 2020
WorldRemit,Thu Feb 20 00:57:55 UTC 2020
Revolut,Thu Feb 20 00:55:14 UTC 2020
Capital on Tap,Thu Feb 20 00:55:12 UTC 2020
Marqeta,Thu Feb 20 00:54:53 UTC 2020
Crypto.com,Thu Feb 13 22:25:54 UTC 2020
Crypton Studio,Wed Feb 12 03:18:32 UTC 2020
Varo Bank,Tue Feb 11 16:33:10 UTC 2020
CoinDesk,Tue Feb 11 16:28:10 UTC 2020
Galileo Financial Technologies,Fri Feb 07 06:41:11 UTC 2020
Chipper Cash,Fri Feb 07 06:40:15 UTC 2020
Veriff,Tue Jan 28 20:50:22 UTC 2020
Wirecash,Mon Jan 27 21:24:50 UTC 2020
Digicel MyCash,Wed Jan 15 19:31:31 UTC 2020
Bankable,Wed Jan 15 04:34:17 UTC 2020
Reloadly,Wed Jan 15 04:00:37 UTC 2020
HODL Wallet,Wed Jan 15 03:58:59 UTC 2020
Bitstop.co,Wed Jan 15 03:56:25 UTC 2020
Nova Technology,Wed Jan 15 03:55:53 UTC 2020
FMW Media Works Corp.,Wed Jan 15 03:53:46 UTC 2020
Inspiralia USA,Tue Jan 14 00:41:42 UTC 2020
Fin.do,Wed Dec 25 02:32:36 UTC 2019
Prepay Nation,Wed Dec 25 02:27:50 UTC 2019
Initialized Capital,Fri Dec 20 00:02:47 UTC 2019
De La Rue,Wed Dec 18 00:20:09 UTC 2019
Onfido,Tue Dec 17 01:53:38 UTC 2019
Jumio Corporation,Tue Dec 17 01:53:21 UTC 2019
Authenticid Solutions India Pvt. Ltd.,Tue Dec 17 00:47:13 UTC 2019
"AuthenticID, An Incode Company",Tue Dec 17 00:47:05 UTC 2019
Informa Connect,Wed Dec 04 03:38:50 UTC 2019
ebpSource Limited,Tue Nov 26 19:51:34 UTC 2019
iLab Startup Foundation,Mon Nov 25 20:41:55 UTC 2019
India FinTech Forum,Fri Nov 15 20:38:13 UTC 2019
PYMNTS,Fri Nov 15 15:34:01 UTC 2019
Finance Magnates,Fri Nov 15 04:01:09 UTC 2019
BlockchainCenter.com,Thu Nov 14 20:16:24 UTC 2019
Inficare Pvt. Ltd,Thu Nov 14 20:12:35 UTC 2019
DOCOMO Digital,Thu Nov 14 20:03:51 UTC 2019
Arrival,Sun Nov 10 23:10:37 UTC 2019
Certegy Ezi-Pay,Sat Nov 09 00:39:45 UTC 2019
Certegy Payment Solutions,Sat Nov 09 00:39:42 UTC 2019
Certegy Payment Solutions,Thu Aug 07 11:50:47 UTC 2025
Currencycloud,Fri Nov 08 21:36:10 UTC 2019
